"time","ano","CA","CV","partida"
"Ponte Preta-SP",2016,0,0,NA
"Ponte Preta-SP",2017,0,0,NA
"Portsmouth",2006,26,0,"visitante"
"Portsmouth",2007,31,1,"visitante"
"Portsmouth",2008,32,2,"visitante"
"Portsmouth",2009,34,2,"visitante"
"Portuguesa-SP",2012,0,0,NA
"Portuguesa-SP",2013,0,0,NA
"Queens Park Rangers",2011,28,3,"visitante"
"Queens Park Rangers",2012,37,1,"visitante"
"Queens Park Rangers",2014,39,2,"visitante"
"Racing Santander",2006,58,6,"visitante"
"Racing Santander",2007,52,4,"visitante"
"Racing Santander",2008,76,7,"visitante"
"Racing Santander",2009,48,5,"visitante"
"Racing Santander",2010,36,3,"visitante"
"Racing Santander",2011,59,5,"visitante"
"Reading",2006,22,2,"visitante"
"Reading",2007,35,2,"visitante"
"Reading",2012,24,0,"visitante"
"Real Madrid",2006,58,6,"visitante"
"Real Madrid",2007,46,5,"visitante"
"Real Madrid",2008,57,6,"visitante"
"Real Madrid",2009,53,2,"visitante"
"Real Madrid",2010,51,3,"visitante"
"Real Madrid",2011,55,4,"visitante"
"Real Madrid",2012,53,3,"visitante"
"Real Madrid",2013,46,2,"visitante"
"Real Madrid",2014,48,2,"visitante"
"Real Madrid",2015,39,3,"visitante"
"Real Madrid",2016,29,0,"visitante"
"Real Madrid",2017,41,2,"visitante"
"Real Madrid",2018,52,4,"visitante"
"Real Madrid",2019,41,3,"visitante"
"Real Sociedad",2006,50,2,"visitante"
"Real Sociedad",2010,40,0,"visitante"
"Real Sociedad",2011,40,7,"visitante"
"Real Sociedad",2012,49,2,"visitante"
"Real Sociedad",2013,41,0,"visitante"
"Real Sociedad",2014,48,1,"visitante"
"Real Sociedad",2015,56,1,"visitante"
"Real Sociedad",2016,42,5,"visitante"
"Real Sociedad",2017,26,1,"visitante"
"Real Sociedad",2018,40,3,"visitante"
"Real Sociedad",2019,43,1,"visitante"
"Real Zaragoza",2006,67,6,"visitante"
"Real Zaragoza",2007,54,4,"visitante"
"Real Zaragoza",2009,61,3,"visitante"
"Real Zaragoza",2010,55,5,"visitante"
"Real Zaragoza",2011,62,6,"visitante"
"Real Zaragoza",2012,60,5,"visitante"
"Recreativo Huelva",2006,33,2,"visitante"
"Recreativo Huelva",2007,53,3,"visitante"
"Recreativo Huelva",2008,46,4,"visitante"
"Reggina",2006,51,2,"visitante"
"Reggina",2007,43,1,"visitante"
"Reggina",2008,47,3,"visitante"
"Roma",2006,48,2,"visitante"
"Roma",2007,41,1,"visitante"
"Roma",2008,46,9,"visitante"
"Roma",2009,50,1,"visitante"
"Roma",2010,44,7,"visitante"
"Roma",2011,38,7,"visitante"
"Roma",2012,42,5,"visitante"
"Roma",2013,47,4,"visitante"
"Roma",2014,58,1,"visitante"
"Roma",2015,48,3,"visitante"
"Roma",2016,38,0,"visitante"
"Roma",2017,26,2,"visitante"
"Roma",2018,50,1,"visitante"
"Roma",2019,59,4,"visitante"
"Roma",2020,4,0,"visitante"
"Sampdoria",2006,42,3,"visitante"
"Sampdoria",2007,58,4,"visitante"
"Sampdoria",2008,43,4,"visitante"
"Sampdoria",2009,37,7,"visitante"
"Sampdoria",2010,35,2,"visitante"
"Sampdoria",2012,43,8,"visitante"
"Sampdoria",2013,43,2,"visitante"
"Sampdoria",2014,50,2,"visitante"
"Sampdoria",2015,50,4,"visitante"
"Sampdoria",2016,38,4,"visitante"
"Sampdoria",2017,39,2,"visitante"
"Sampdoria",2018,49,2,"visitante"
"Sampdoria",2019,52,4,"visitante"
"Sampdoria",2020,4,1,"visitante"
"Santa Cruz-PE",2016,0,0,NA
"Santos-SP",2012,0,0,NA
"Santos-SP",2013,0,0,NA
"Santos-SP",2014,0,0,NA
"Santos-SP",2015,0,0,NA
"Santos-SP",2016,0,0,NA
"Santos-SP",2017,0,0,NA
"Santos-SP",2018,0,0,NA
"Santos-SP",2019,0,0,NA
"Santos-SP",2020,0,0,NA
"São Paulo-SP",2012,0,0,NA
"São Paulo-SP",2013,0,0,NA
"São Paulo-SP",2014,0,0,NA
"São Paulo-SP",2015,0,0,NA
"São Paulo-SP",2016,0,0,NA
"São Paulo-SP",2017,0,0,NA
"São Paulo-SP",2018,0,0,NA
"São Paulo-SP",2019,0,0,NA
"São Paulo-SP",2020,0,0,NA
"Sassuolo",2013,47,2,"visitante"
"Sassuolo",2014,46,7,"visitante"
"Sassuolo",2015,48,2,"visitante"
"Sassuolo",2016,42,1,"visitante"
"Sassuolo",2017,45,4,"visitante"
"Sassuolo",2018,46,6,"visitante"
"Sassuolo",2019,54,1,"visitante"
"Sevilla",2006,59,8,"visitante"
"Sevilla",2007,51,7,"visitante"
"Sevilla",2008,52,5,"visitante"
"Sevilla",2009,50,8,"visitante"
"Sevilla",2010,52,5,"visitante"
"Sevilla",2011,64,4,"visitante"
"Sevilla",2012,48,8,"visitante"
"Sevilla",2013,63,6,"visitante"
"Sevilla",2014,59,1,"visitante"
"Sevilla",2015,49,6,"visitante"
"Sevilla",2016,54,3,"visitante"
"Sevilla",2017,55,1,"visitante"
"Sevilla",2018,58,5,"visitante"
"Sevilla",2019,53,1,"visitante"
"Sheffield United",2006,37,2,"visitante"
"Sheffield United",2019,31,1,"visitante"
"Siena",2006,47,7,"visitante"
"Siena",2007,47,2,"visitante"
"Siena",2008,30,2,"visitante"
"Siena",2009,54,3,"visitante"
"Siena",2011,50,1,"visitante"
"Siena",2012,45,4,"visitante"
"Southampton",2012,20,0,"visitante"
"Southampton",2013,37,0,"visitante"
"Southampton",2014,34,1,"visitante"
"Southampton",2015,30,3,"visitante"
"Southampton",2016,35,0,"visitante"
"Southampton",2017,34,2,"visitante"
"Southampton",2018,32,1,"visitante"
"Southampton",2019,34,0,"visitante"
"SPAL",2017,48,2,"visitante"
"SPAL",2018,57,1,"visitante"
"SPAL",2019,52,0,"visitante"
"Sport-PE",2012,0,0,NA
"Sport-PE",2014,0,0,NA
"Sport-PE",2015,0,0,NA
"Sport-PE",2016,0,0,NA
"Sport-PE",2017,0,0,NA
"Sport-PE",2018,0,0,NA
"Sport-PE",2020,0,0,NA
"Sporting Gijón",2008,54,2,"visitante"
"Sporting Gijón",2009,46,5,"visitante"
"Sporting Gijón",2010,43,4,"visitante"
"Sporting Gijón",2011,61,3,"visitante"
"Sporting Gijón",2015,50,5,"visitante"
"Sporting Gijón",2016,58,2,"visitante"
"Stoke",2008,34,3,"visitante"
"Stoke",2009,36,2,"visitante"
"Stoke",2010,40,1,"visitante"
"Stoke",2011,36,1,"visitante"
"Stoke",2012,46,2,"visitante"
"Stoke",2013,36,4,"visitante"
"Stoke",2014,49,1,"visitante"
"Stoke",2015,27,2,"visitante"
"Stoke",2016,35,0,"visitante"
"Stoke",2017,32,0,"visitante"
"Sunderland",2007,38,3,"visitante"
"Sunderland",2008,35,1,"visitante"
"Sunderland",2009,40,7,"visitante"
"Sunderland",2010,35,3,"visitante"
"Sunderland",2011,33,2,"visitante"
"Sunderland",2012,37,2,"visitante"
"Sunderland",2013,29,5,"visitante"
"Sunderland",2014,49,1,"visitante"
"Sunderland",2015,33,1,"visitante"
"Sunderland",2016,41,2,"visitante"
"Swansea",2011,19,2,"visitante"
"Swansea",2012,33,0,"visitante"
"Swansea",2013,27,1,"visitante"
"Swansea",2014,23,4,"visitante"
"Swansea",2015,27,0,"visitante"
"Swansea",2016,26,0,"visitante"
"Swansea",2017,27,1,"visitante"
"Tenerife",2009,46,4,"visitante"
"Torino",2006,47,3,"visitante"
"Torino",2007,61,4,"visitante"
"Torino",2008,52,5,"visitante"
"Torino",2012,43,4,"visitante"
"Torino",2013,57,1,"visitante"
"Torino",2014,57,3,"visitante"
"Torino",2015,52,0,"visitante"
"Torino",2016,49,4,"visitante"
"Torino",2017,44,3,"visitante"
"Torino",2018,52,2,"visitante"
"Torino",2019,43,3,"visitante"
"Torino",2020,3,0,"visitante"
"Tottenham",2006,25,2,"visitante"
"Tottenham",2007,29,0,"visitante"
"Tottenham",2008,35,5,"visitante"
"Tottenham",2009,31,1,"visitante"
"Tottenham",2010,23,1,"visitante"
"Tottenham",2011,30,3,"visitante"
"Tottenham",2012,29,1,"visitante"
"Tottenham",2013,35,2,"visitante"
"Tottenham",2014,42,3,"visitante"
"Tottenham",2015,42,0,"visitante"
"Tottenham",2016,35,0,"visitante"
"Tottenham",2017,29,2,"visitante"
"Tottenham",2018,36,3,"visitante"
"Tottenham",2019,43,1,"visitante"
"Udinese",2006,38,5,"visitante"
"Udinese",2007,38,5,"visitante"
"Udinese",2008,43,2,"visitante"
"Udinese",2009,46,2,"visitante"
"Udinese",2010,40,3,"visitante"
"Udinese",2011,42,2,"visitante"
"Udinese",2012,42,2,"visitante"
"Udinese",2013,53,2,"visitante"
"Udinese",2014,51,3,"visitante"
"Udinese",2015,51,1,"visitante"
"Udinese",2016,43,0,"visitante"
"Udinese",2017,35,1,"visitante"
"Udinese",2018,41,1,"visitante"
"Udinese",2019,32,3,"visitante"
"Udinese",2020,1,0,"visitante"
"Valencia",2006,50,7,"visitante"
"Valencia",2007,52,3,"visitante"
"Valencia",2008,57,4,"visitante"
"Valencia",2009,59,5,"visitante"
"Valencia",2010,55,7,"visitante"
"Valencia",2011,76,4,"visitante"
"Valencia",2012,65,3,"visitante"
"Valencia",2013,50,2,"visitante"
"Valencia",2014,56,8,"visitante"
"Valencia",2015,67,5,"visitante"
"Valencia",2016,56,4,"visitante"
"Valencia",2017,63,3,"visitante"
"Valencia",2018,47,3,"visitante"
"Valencia",2019,43,6,"visitante"
"Valladolid",2007,44,5,"visitante"
"Valladolid",2008,44,7,"visitante"
"Valladolid",2009,41,4,"visitante"
"Valladolid",2012,40,3,"visitante"
"Valladolid",2013,50,2,"visitante"
"Valladolid",2018,48,0,"visitante"
"Valladolid",2019,40,0,"visitante"
"Vallecano",2011,71,2,"visitante"
"Vallecano",2012,77,2,"visitante"
"Vallecano",2013,45,5,"visitante"
"Vallecano",2014,52,2,"visitante"
"Vallecano",2015,52,4,"visitante"
"Vallecano",2018,53,4,"visitante"
"Vasco da Gama-RJ",2012,0,0,NA
"Vasco da Gama-RJ",2013,0,0,NA
"Vasco da Gama-RJ",2015,0,0,NA
"Vasco da Gama-RJ",2017,0,0,NA
"Vasco da Gama-RJ",2018,0,0,NA
"Vasco da Gama-RJ",2019,0,0,NA
"Vasco da Gama-RJ",2020,0,0,NA
"Villarreal",2006,47,3,"visitante"
"Villarreal",2007,49,3,"visitante"
"Villarreal",2008,41,5,"visitante"
"Villarreal",2009,54,4,"visitante"
"Villarreal",2010,45,4,"visitante"
"Villarreal",2011,51,4,"visitante"
"Villarreal",2013,36,1,"visitante"
"Villarreal",2014,65,1,"visitante"
"Villarreal",2015,46,3,"visitante"
"Villarreal",2016,51,1,"visitante"
"Villarreal",2017,56,3,"visitante"
"Villarreal",2018,57,2,"visitante"
"Villarreal",2019,39,1,"visitante"
"Vitória-BA",2013,0,0,NA
"Vitória-BA",2014,0,0,NA
"Vitória-BA",2016,0,0,NA
"Vitória-BA",2017,0,0,NA
"Vitória-BA",2018,0,0,NA
"Watford",2006,25,1,"visitante"
"Watford",2015,36,1,"visitante"
"Watford",2016,33,3,"visitante"
"Watford",2017,22,2,"visitante"
"Watford",2018,39,1,"visitante"
"Watford",2019,37,1,"visitante"
"West Brom",2008,29,0,"visitante"
"West Brom",2010,25,4,"visitante"
"West Brom",2011,30,1,"visitante"
"West Brom",2012,35,3,"visitante"
"West Brom",2013,34,0,"visitante"
"West Brom",2014,30,2,"visitante"
"West Brom",2015,38,1,"visitante"
"West Brom",2016,47,0,"visitante"
"West Brom",2017,37,1,"visitante"
"West Ham",2006,40,1,"visitante"
"West Ham",2007,41,1,"visitante"
"West Ham",2008,39,3,"visitante"
"West Ham",2009,39,2,"visitante"
"West Ham",2010,36,1,"visitante"
"West Ham",2012,48,0,"visitante"
"West Ham",2013,39,3,"visitante"
"West Ham",2014,31,1,"visitante"
"West Ham",2015,36,2,"visitante"
"West Ham",2016,30,4,"visitante"
"West Ham",2017,38,2,"visitante"
"West Ham",2018,31,1,"visitante"
"West Ham",2019,28,1,"visitante"
"Wigan",2006,47,3,"visitante"
"Wigan",2007,31,2,"visitante"
"Wigan",2008,35,2,"visitante"
"Wigan",2009,37,3,"visitante"
"Wigan",2010,41,3,"visitante"
"Wigan",2011,33,2,"visitante"
"Wigan",2012,38,2,"visitante"
"Wolves",2009,40,3,"visitante"
"Wolves",2010,36,2,"visitante"
"Wolves",2011,34,1,"visitante"
"Wolves",2018,39,1,"visitante"
"Wolves",2019,29,2,"visitante"
"Xerez",2009,56,10,"visitante"
